"Subject","Word","Pupil","Paragraph","Brightness","Story","Vividness","Suspense","Word_order"
"P02M26","story1_bright2_blendende_2",-0.102661898429769,"story1_bright2","bright","story1",5,2,5
"P02M26","story1_bright2_dagslys",-0.0838123599523667,"story1_bright2","bright","story1",5,2,6
"P02M26","story1_bright2_sollyset",-0.10733392063277,"story1_bright2","bright","story1",5,2,7
"P02M26","story1_bright2_gyllen",-0.150289676809344,"story1_bright2","bright","story1",5,2,8
"P02M26","story1_bright2_glød",-0.169213851792896,"story1_bright2","bright","story1",5,2,9
"P02M26","story1_bright2_glitrende",-0.12479567471938,"story1_bright2","bright","story1",5,2,10
"P02M26","story1_dark_mørk",0.0812865305145141,"story1_dark","dark","story1",5,2,1
"P02M26","story1_dark_tunnel",0.0732618555858321,"story1_dark","dark","story1",5,2,2
"P02M26","story1_dark_sorte",0.0121159893751049,"story1_dark","dark","story1",5,2,3
"P02M26","story1_dark_svarte",-0.0677509950883903,"story1_dark","dark","story1",5,2,4
"P02M26","story1_dark_skygger",-0.0595256027273611,"story1_dark","dark","story1",5,2,5
"P02M26","story1_dark_bekmørk",-0.102562500033617,"story1_dark","dark","story1",5,2,6
"P02M26","story1_dark_natt",-0.102885112464817,"story1_dark","dark","story1",5,2,7
"P02M26","story1_dark_dunkle",-0.0936424746683794,"story1_dark","dark","story1",5,2,8
"P02M26","story1_dark_skyggeområdet",-0.11917825411884,"story1_dark","dark","story1",5,2,9
"P02M26","story1_dark_kullsvart",-0.13676901669691,"story1_dark","dark","story1",5,2,10
"P02M26","story2_bright1_skinnende",0.0377884948135552,"story2_bright1","bright","story2",5,2,1
"P02M26","story2_bright1_belysningen",0.0310600432040367,"story2_bright1","bright","story2",5,2,2
"P02M26","story2_bright1_spotlysene",0.0255371140524971,"story2_bright1","bright","story2",5,2,3
"P02M26","story2_bright1_lampenes",-0.0677061875704212,"story2_bright1","bright","story2",5,2,4
"P02M26","story2_bright1_opplysning",-0.0938351335961247,"story2_bright1","bright","story2",5,2,5
"P02M26","story2_bright1_hvite_2",-0.107043360589028,"story2_bright1","bright","story2",5,2,6
"P02M26","story2_bright1_klareheten",-0.0942200030132682,"story2_bright1","bright","story2",5,2,7
"P02M26","story2_bright1_lyskilden",-0.160341504577044,"story2_bright1","bright","story2",5,2,8
"P02M26","story2_bright1_strålende_3",-0.124254379233308,"story2_bright1","bright","story2",5,2,9
"P02M26","story2_bright1_lysstyrken",-0.0780295930605304,"story2_bright1","bright","story2",5,2,10
